idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0,55,143,113,369,135,33,325,-0.27,0.92,0.23,0,1,-2,ka
0,55,141,109,344,123,36,303,-0.27,0.92,0.23,0,2,-1,ka
0,55,138,105,316,111,33,284,-0.27,0.92,0.23,0,2,0,ka
0,55,136,103,294,100,36,260,-0.27,0.92,0.23,0,2,0,ka
0,55,134,99,268,88,36,238,-0.27,0.92,0.23,0,1,1,ka
0,55,132,96,246,79,38,221,-0.27,0.93,0.23,0,1,2,ka
0,55,130,93,221,68,41,200,-0.27,0.93,0.22,-1,1,3,ka
0,55,127,90,196,56,41,180,-0.26,0.93,0.22,-2,1,4,ka
0,55,125,86,173,46,43,156,-0.26,0.93,0.22,-1,2,5,ka
0,55,124,84,151,37,43,139,-0.25,0.93,0.22,0,2,6,ka
0,55,123,84,148,35,43,137,-0.24,0.93,0.23,0,2,6,ka
0,57,123,83,148,35,43,137,-0.24,0.93,0.22,0,2,6,ka
0,57,123,83,148,35,43,137,-0.23,0.93,0.23,1,1,5,ka
0,57,123,83,148,35,43,134,-0.22,0.93,0.22,1,0,5,ka
0,57,122,83,145,35,46,134,-0.23,0.93,0.22,1,0,5,ka
0,57,122,83,148,35,43,134,-0.22,0.93,0.22,2,-2,5,ka
0,57,122,83,148,35,43,134,-0.21,0.92,0.22,2,0,3,ka
0,57,122,83,151,35,43,132,-0.21,0.93,0.22,2,-1,2,ka
0,57,122,83,151,35,38,132,-0.21,0.92,0.22,2,-1,0,ka
0,57,122,84,148,35,43,132,-0.21,0.92,0.22,2,-2,0,ka
0,57,123,84,148,35,43,132,-0.21,0.92,0.22,1,-2,0,ka
0,57,123,85,148,35,43,132,-0.21,0.92,0.22,0,-2,0,ka
0,59,123,85,148,35,43,134,-0.21,0.92,0.21,0,-1,0,ka
0,59,123,85,148,35,38,134,-0.21,0.92,0.22,0,0,-1,ka
0,59,124,85,148,35,36,134,-0.19,0.92,0.21,0,0,-2,ka
0,61,124,85,145,35,38,134,-0.2,0.92,0.22,0,2,-2,ka
0,61,124,86,145,37,36,132,-0.2,0.93,0.22,0,1,-1,ka
0,61,124,87,142,35,38,132,-0.21,0.93,0.21,0,1,0,ka
0,61,123,87,142,35,41,132,-0.2,0.93,0.21,0,1,1,ka
0,61,123,86,145,35,36,132,-0.2,0.93,0.2,0,2,1,ka
0,61,122,87,142,35,38,134,-0.19,0.93,0.2,0,2,1,ka
0,61,122,87,142,35,38,134,-0.19,0.93,0.2,0,2,1,ka
0,59,123,86,142,35,38,134,-0.19,0.93,0.19,0,2,1,ka
0,59,122,87,142,35,41,137,-0.19,0.94,0.19,0,2,1,ka
0,59,122,86,142,35,38,137,-0.19,0.94,0.19,0,3,1,ka
0,57,122,87,142,35,36,134,-0.19,0.94,0.19,0,3,1,ka
0,57,122,87,142,35,36,137,-0.19,0.94,0.19,-1,3,0,ka
0,57,122,87,142,35,33,137,-0.18,0.94,0.19,-1,3,0,ka
0,57,122,87,142,35,33,139,-0.19,0.94,0.19,-2,3,0,ka
0,57,122,86,142,35,33,139,-0.19,0.94,0.19,-2,2,0,ka
0,57,123,87,142,35,33,137,-0.19,0.94,0.19,-2,2,0,ka
0,57,123,86,142,35,31,137,-0.19,0.94,0.2,-2,2,0,ka
0,57,123,86,142,34,33,134,-0.19,0.94,0.2,-2,2,0,ka
0,57,123,86,142,34,33,134,-0.19,0.94,0.2,-2,2,0,ka
0,57,123,86,142,34,33,132,-0.19,0.94,0.2,-2,2,0,ka
0,57,123,87,142,34,36,132,-0.19,0.94,0.2,-2,2,1,ka
0,57,123,86,142,34,36,132,-0.18,0.94,0.19,-1,2,1,ka
0,57,122,86,142,34,38,132,-0.18,0.94,0.19,-1,2,1,ka
0,57,123,86,142,34,38,132,-0.18,0.94,0.19,-1,2,1,ka
0,57,122,87,142,34,41,132,-0.18,0.94,0.19,-1,2,1,ka
0,57,122,87,145,35,41,132,-0.18,0.94,0.19,-2,2,1,ka
0,57,122,87,145,35,38,132,-0.18,0.94,0.19,-2,2,0,ka
0,57,122,87,145,34,41,132,-0.17,0.94,0.19,-2,2,0,ka
0,57,122,86,145,35,41,132,-0.17,0.94,0.19,-2,2,0,ka
0,57,122,86,145,35,38,132,-0.17,0.94,0.19,-2,2,0,ka
0,57,122,85,145,35,38,132,-0.17,0.94,0.19,-2,2,0,ka
0,59,122,85,142,35,41,134,-0.17,0.94,0.19,-2,2,0,ka
0,57,122,86,142,37,41,134,-0.17,0.94,0.2,-2,2,0,ka
