idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,177.0,113.0,470.0,171.0,60.0,428.0,-0.27,0.9,0.28,-3.0,5.0,0.0,ek
0.0,0.0,175.0,109.0,442.0,156.0,60.0,400.0,-0.27,0.9,0.28,-3.0,5.0,0.0,ek
0.0,0.0,173.0,106.0,411.0,141.0,60.0,371.0,-0.27,0.9,0.28,-2.0,5.0,0.0,ek
0.0,0.0,170.0,102.0,383.0,128.0,60.0,346.0,-0.27,0.9,0.28,-1.0,4.0,1.0,ek
0.0,0.0,167.0,98.0,355.0,116.0,58.0,325.0,-0.27,0.9,0.28,-1.0,4.0,1.0,ek
0.0,0.0,165.0,93.0,327.0,102.0,58.0,296.0,-0.27,0.9,0.28,0.0,4.0,1.0,ek
0.0,0.0,163.0,90.0,294.0,88.0,55.0,272.0,-0.27,0.9,0.28,-1.0,3.0,1.0,ek
0.0,0.0,160.0,86.0,266.0,76.0,58.0,248.0,-0.27,0.9,0.27,-2.0,3.0,1.0,ek
0.0,0.0,157.0,82.0,238.0,64.0,55.0,226.0,-0.26,0.9,0.27,-2.0,2.0,0.0,ek
0.0,0.0,155.0,78.0,210.0,50.0,55.0,197.0,-0.26,0.9,0.27,-3.0,2.0,0.0,ek
0.0,0.0,154.0,78.0,207.0,49.0,53.0,197.0,-0.26,0.9,0.27,-3.0,3.0,0.0,ek
0.0,0.0,154.0,78.0,204.0,49.0,53.0,195.0,-0.27,0.9,0.27,-3.0,3.0,0.0,ek
0.0,0.0,154.0,77.0,204.0,49.0,50.0,195.0,-0.27,0.9,0.27,-3.0,3.0,0.0,ek
0.0,0.0,154.0,77.0,204.0,49.0,53.0,195.0,-0.27,0.9,0.28,-3.0,3.0,0.0,ek
0.0,0.0,153.0,77.0,204.0,49.0,53.0,195.0,-0.27,0.9,0.28,-3.0,3.0,0.0,ek
0.0,0.0,153.0,77.0,201.0,49.0,55.0,192.0,-0.26,0.9,0.28,-4.0,3.0,0.0,ek
0.0,0.0,153.0,76.0,204.0,49.0,55.0,192.0,-0.26,0.9,0.28,-3.0,3.0,0.0,ek
0.0,0.0,153.0,76.0,201.0,49.0,55.0,192.0,-0.26,0.91,0.28,-3.0,4.0,0.0,ek
0.0,0.0,152.0,76.0,201.0,47.0,55.0,192.0,-0.26,0.9,0.29,-3.0,4.0,1.0,ek
0.0,0.0,152.0,76.0,201.0,49.0,55.0,190.0,-0.26,0.9,0.29,-2.0,4.0,1.0,ek
0.0,0.0,152.0,76.0,201.0,49.0,60.0,190.0,-0.26,0.9,0.29,-2.0,3.0,1.0,ek
0.0,0.0,152.0,75.0,201.0,47.0,60.0,190.0,-0.25,0.9,0.29,-2.0,3.0,1.0,ek
0.0,0.0,152.0,75.0,201.0,47.0,60.0,190.0,-0.25,0.9,0.29,-2.0,3.0,1.0,ek
0.0,0.0,152.0,75.0,201.0,47.0,60.0,190.0,-0.25,0.9,0.29,-2.0,3.0,1.0,ek
0.0,0.0,152.0,74.0,201.0,47.0,62.0,190.0,-0.25,0.9,0.29,-1.0,3.0,1.0,ek
0.0,0.0,152.0,74.0,201.0,47.0,60.0,190.0,-0.25,0.9,0.29,0.0,3.0,0.0,ek
0.0,0.0,152.0,74.0,198.0,47.0,60.0,190.0,-0.25,0.9,0.29,-1.0,2.0,0.0,ek
0.0,0.0,152.0,74.0,198.0,47.0,60.0,190.0,-0.25,0.9,0.29,0.0,2.0,0.0,ek
0.0,0.0,152.0,74.0,198.0,47.0,62.0,190.0,-0.24,0.9,0.28,0.0,2.0,0.0,ek
0.0,0.0,152.0,73.0,198.0,46.0,62.0,190.0,-0.24,0.9,0.28,0.0,3.0,0.0,ek
0.0,0.0,152.0,73.0,198.0,47.0,62.0,190.0,-0.24,0.91,0.28,0.0,3.0,0.0,ek
0.0,0.0,151.0,73.0,198.0,47.0,60.0,187.0,-0.24,0.91,0.28,0.0,3.0,0.0,ek
0.0,0.0,152.0,73.0,198.0,46.0,60.0,187.0,-0.24,0.91,0.28,0.0,2.0,0.0,ek
0.0,0.0,151.0,73.0,198.0,46.0,60.0,187.0,-0.24,0.91,0.28,0.0,2.0,0.0,ek
0.0,0.0,151.0,73.0,198.0,46.0,60.0,187.0,-0.24,0.91,0.28,0.0,2.0,0.0,ek
0.0,0.0,151.0,73.0,196.0,46.0,58.0,187.0,-0.24,0.91,0.28,0.0,2.0,0.0,ek
0.0,0.0,151.0,72.0,196.0,46.0,60.0,187.0,-0.24,0.91,0.28,-1.0,2.0,0.0,ek
0.0,0.0,150.0,72.0,196.0,46.0,60.0,185.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,71.0,196.0,46.0,58.0,185.0,-0.25,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,71.0,196.0,46.0,58.0,187.0,-0.25,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,70.0,196.0,46.0,58.0,190.0,-0.24,0.91,0.27,-2.0,2.0,0.0,ek
0.0,0.0,151.0,70.0,196.0,46.0,58.0,187.0,-0.25,0.91,0.27,-2.0,2.0,0.0,ek
0.0,0.0,151.0,70.0,193.0,46.0,58.0,187.0,-0.25,0.91,0.28,-2.0,3.0,0.0,ek
0.0,0.0,151.0,70.0,193.0,46.0,58.0,187.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,69.0,196.0,46.0,60.0,187.0,-0.25,0.91,0.28,-2.0,3.0,0.0,ek
0.0,0.0,151.0,69.0,196.0,46.0,60.0,187.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,69.0,193.0,46.0,58.0,190.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,70.0,193.0,46.0,60.0,187.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,70.0,193.0,46.0,58.0,185.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,70.0,196.0,46.0,60.0,185.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,151.0,70.0,196.0,44.0,58.0,183.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,70.0,196.0,44.0,58.0,180.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,70.0,196.0,44.0,58.0,183.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,69.0,193.0,43.0,58.0,180.0,-0.24,0.91,0.29,-2.0,2.0,0.0,ek
0.0,0.0,150.0,69.0,193.0,44.0,55.0,180.0,-0.24,0.91,0.28,-2.0,2.0,0.0,ek
0.0,0.0,150.0,69.0,193.0,44.0,58.0,178.0,-0.24,0.91,0.29,-2.0,2.0,0.0,ek
