idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
86.0,0.0,168.0,57.0,414.0,165.0,76.0,366.0,-0.08,0.91,0.36,0.0,7.0,-5.0,ga
86.0,0.0,165.0,54.0,378.0,152.0,85.0,340.0,-0.09,0.91,0.36,-1.0,8.0,-7.0,ga
88.0,0.0,162.0,51.0,351.0,138.0,83.0,315.0,-0.1,0.91,0.37,0.0,8.0,-6.0,ga
86.0,0.0,159.0,47.0,318.0,123.0,85.0,290.0,-0.11,0.9,0.37,1.0,9.0,-5.0,ga
104.0,0.0,156.0,42.0,276.0,110.0,81.0,262.0,-0.11,0.9,0.36,2.0,10.0,-5.0,ga
104.0,0.0,152.0,41.0,246.0,96.0,81.0,236.0,-0.12,0.9,0.36,3.0,12.0,-5.0,ga
104.0,0.0,150.0,38.0,210.0,81.0,83.0,211.0,-0.13,0.9,0.35,4.0,12.0,-5.0,ga
104.0,0.0,148.0,33.0,177.0,64.0,83.0,180.0,-0.14,0.9,0.34,6.0,12.0,-4.0,ga
104.0,0.0,145.0,30.0,147.0,52.0,83.0,157.0,-0.15,0.91,0.33,5.0,13.0,-4.0,ga
106.0,0.0,142.0,25.0,120.0,37.0,83.0,132.0,-0.16,0.9,0.33,6.0,12.0,-2.0,ga
96.0,0.0,142.0,26.0,117.0,39.0,90.0,132.0,-0.16,0.91,0.32,5.0,10.0,0.0,ga
98.0,0.0,141.0,24.0,114.0,39.0,85.0,127.0,-0.16,0.91,0.31,6.0,9.0,2.0,ga
98.0,0.0,142.0,24.0,108.0,40.0,88.0,127.0,-0.15,0.91,0.3,5.0,9.0,2.0,ga
100.0,0.0,142.0,24.0,108.0,40.0,88.0,129.0,-0.15,0.92,0.29,4.0,10.0,2.0,ga
84.0,0.0,142.0,24.0,111.0,39.0,88.0,129.0,-0.15,0.92,0.29,1.0,8.0,3.0,ga
82.0,0.0,142.0,24.0,102.0,39.0,90.0,129.0,-0.14,0.93,0.29,0.0,7.0,3.0,ga
84.0,0.0,142.0,24.0,102.0,39.0,93.0,129.0,-0.13,0.94,0.28,-2.0,7.0,3.0,ga
80.0,0.0,142.0,24.0,114.0,39.0,93.0,129.0,-0.13,0.94,0.29,-2.0,7.0,4.0,ga
82.0,0.0,143.0,24.0,114.0,37.0,97.0,129.0,-0.12,0.93,0.29,-2.0,6.0,4.0,ga
80.0,0.0,142.0,26.0,114.0,37.0,97.0,132.0,-0.12,0.93,0.29,-1.0,6.0,3.0,ga
88.0,0.0,142.0,26.0,117.0,36.0,93.0,132.0,-0.12,0.93,0.28,0.0,7.0,2.0,ga
88.0,0.0,142.0,26.0,120.0,34.0,97.0,134.0,-0.12,0.93,0.28,-1.0,6.0,2.0,ga
86.0,0.0,143.0,26.0,126.0,34.0,97.0,137.0,-0.12,0.93,0.27,-3.0,6.0,1.0,ga
90.0,0.0,142.0,26.0,123.0,34.0,102.0,134.0,-0.12,0.93,0.28,-3.0,5.0,1.0,ga
90.0,0.0,138.0,26.0,123.0,34.0,97.0,132.0,-0.12,0.93,0.28,-2.0,5.0,1.0,ga
94.0,0.0,139.0,26.0,132.0,40.0,97.0,134.0,-0.12,0.93,0.28,-3.0,4.0,1.0,ga
96.0,0.0,138.0,26.0,129.0,40.0,97.0,132.0,-0.12,0.93,0.28,-2.0,4.0,0.0,ga
98.0,0.0,138.0,26.0,117.0,40.0,97.0,132.0,-0.13,0.93,0.28,-4.0,3.0,0.0,ga
100.0,0.0,138.0,24.0,111.0,40.0,95.0,132.0,-0.12,0.93,0.28,-3.0,3.0,0.0,ga
98.0,0.0,140.0,24.0,111.0,40.0,93.0,129.0,-0.12,0.93,0.28,-5.0,2.0,0.0,ga
102.0,0.0,139.0,23.0,105.0,40.0,88.0,127.0,-0.12,0.93,0.29,-5.0,2.0,0.0,ga
98.0,0.0,139.0,23.0,105.0,40.0,85.0,127.0,-0.12,0.93,0.29,-5.0,1.0,0.0,ga
98.0,0.0,138.0,23.0,105.0,40.0,85.0,127.0,-0.12,0.93,0.3,-3.0,1.0,0.0,ga
98.0,0.0,138.0,23.0,102.0,40.0,83.0,124.0,-0.12,0.93,0.29,-3.0,1.0,0.0,ga
94.0,0.0,141.0,22.0,108.0,39.0,85.0,127.0,-0.12,0.93,0.29,-3.0,1.0,-1.0,ga
96.0,0.0,143.0,23.0,105.0,34.0,88.0,127.0,-0.12,0.93,0.3,-3.0,1.0,-1.0,ga
