idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.93,0.05,0.27,-2.0,6.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.93,0.05,0.27,-4.0,7.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.93,0.05,0.27,-5.0,7.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.93,0.05,0.27,-5.0,7.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,-0.93,0.06,0.26,-6.0,7.0,1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.93,0.06,0.26,-8.0,6.0,2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.94,0.06,0.25,-9.0,6.0,3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,-0.94,0.07,0.25,-10.0,6.0,4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,-0.94,0.07,0.24,-11.0,6.0,5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,-0.95,0.06,0.24,-11.0,4.0,5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,-0.95,0.06,0.24,-11.0,3.0,5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,-0.96,0.05,0.24,-10.0,1.0,5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,-0.95,0.05,0.25,-10.0,1.0,5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.95,0.06,0.25,-9.0,0.0,3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.95,0.05,0.26,-8.0,0.0,1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,-0.95,0.05,0.26,-7.0,1.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,-0.95,0.04,0.27,-6.0,2.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,-0.95,0.04,0.27,-5.0,2.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-0.95,0.04,0.28,-4.0,1.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,-0.95,0.04,0.28,-3.0,1.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,-0.94,0.04,0.28,-1.0,1.0,-4.0,gha
