idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,55.0,143.0,113.0,369.0,135.0,33.0,325.0,-0.27,0.92,0.23,0.0,1.0,-2.0,ka
0.0,55.0,141.0,109.0,344.0,123.0,36.0,303.0,-0.27,0.92,0.23,0.0,2.0,-1.0,ka
0.0,55.0,138.0,105.0,316.0,111.0,33.0,284.0,-0.27,0.92,0.23,0.0,2.0,0.0,ka
0.0,55.0,136.0,103.0,294.0,100.0,36.0,260.0,-0.27,0.92,0.23,0.0,2.0,0.0,ka
0.0,55.0,134.0,99.0,268.0,88.0,36.0,238.0,-0.27,0.92,0.23,0.0,1.0,1.0,ka
0.0,55.0,132.0,96.0,246.0,79.0,38.0,221.0,-0.27,0.93,0.23,0.0,1.0,2.0,ka
0.0,55.0,130.0,93.0,221.0,68.0,41.0,200.0,-0.27,0.93,0.22,-1.0,1.0,3.0,ka
0.0,55.0,127.0,90.0,196.0,56.0,41.0,180.0,-0.26,0.93,0.22,-2.0,1.0,4.0,ka
0.0,55.0,125.0,86.0,173.0,46.0,43.0,156.0,-0.26,0.93,0.22,-1.0,2.0,5.0,ka
0.0,55.0,124.0,84.0,151.0,37.0,43.0,139.0,-0.25,0.93,0.22,0.0,2.0,6.0,ka
0.0,55.0,123.0,84.0,148.0,35.0,43.0,137.0,-0.24,0.93,0.23,0.0,2.0,6.0,ka
0.0,57.0,123.0,83.0,148.0,35.0,43.0,137.0,-0.24,0.93,0.22,0.0,2.0,6.0,ka
0.0,57.0,123.0,83.0,148.0,35.0,43.0,137.0,-0.23,0.93,0.23,1.0,1.0,5.0,ka
0.0,57.0,123.0,83.0,148.0,35.0,43.0,134.0,-0.22,0.93,0.22,1.0,0.0,5.0,ka
0.0,57.0,122.0,83.0,145.0,35.0,46.0,134.0,-0.23,0.93,0.22,1.0,0.0,5.0,ka
0.0,57.0,122.0,83.0,148.0,35.0,43.0,134.0,-0.22,0.93,0.22,2.0,-2.0,5.0,ka
0.0,57.0,122.0,83.0,148.0,35.0,43.0,134.0,-0.21,0.92,0.22,2.0,0.0,3.0,ka
0.0,57.0,122.0,83.0,151.0,35.0,43.0,132.0,-0.21,0.93,0.22,2.0,-1.0,2.0,ka
