idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,171.0,83.0,414.0,158.0,0.0,358.0,-0.14,0.93,0.28,0.0,9.0,1.0,kha
0.0,0.0,168.0,82.0,384.0,149.0,0.0,333.0,-0.15,0.93,0.28,1.0,9.0,2.0,kha
0.0,0.0,165.0,80.0,360.0,140.0,0.0,310.0,-0.15,0.94,0.27,0.0,10.0,2.0,kha
0.0,0.0,163.0,79.0,327.0,128.0,0.0,290.0,-0.14,0.94,0.27,-4.0,9.0,2.0,kha
0.0,0.0,160.0,79.0,300.0,116.0,0.0,262.0,-0.14,0.94,0.26,-10.0,11.0,2.0,kha
0.0,0.0,158.0,76.0,273.0,104.0,0.0,236.0,-0.16,0.92,0.27,-11.0,8.0,3.0,kha
0.0,0.0,157.0,71.0,246.0,92.0,0.0,213.0,-0.15,0.93,0.28,-9.0,7.0,4.0,kha
0.0,0.0,155.0,67.0,219.0,78.0,0.0,188.0,-0.15,0.93,0.29,-8.0,6.0,4.0,kha
0.0,0.0,153.0,62.0,189.0,66.0,0.0,160.0,-0.15,0.94,0.3,-5.0,7.0,5.0,kha
0.0,0.0,151.0,58.0,153.0,51.0,0.0,134.0,-0.15,0.94,0.3,-5.0,6.0,7.0,kha
0.0,0.0,150.0,58.0,153.0,51.0,0.0,134.0,-0.13,0.94,0.31,-3.0,4.0,10.0,kha
0.0,0.0,151.0,57.0,150.0,51.0,0.0,137.0,-0.12,0.94,0.31,-2.0,4.0,11.0,kha
0.0,0.0,150.0,58.0,147.0,51.0,0.0,134.0,-0.11,0.93,0.31,1.0,2.0,12.0,kha
0.0,0.0,150.0,58.0,150.0,51.0,0.0,134.0,-0.1,0.93,0.31,3.0,2.0,12.0,kha
0.0,0.0,150.0,58.0,144.0,51.0,0.0,132.0,-0.08,0.93,0.31,1.0,0.0,13.0,kha
0.0,0.0,150.0,58.0,138.0,51.0,0.0,132.0,-0.06,0.94,0.32,0.0,-1.0,13.0,kha
