idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
168.0,0.0,166.0,21.0,420.0,111.0,0.0,76.0,-0.93,0.3,0.01,0.0,3.0,0.0,nga
164.0,0.0,164.0,16.0,387.0,98.0,0.0,53.0,-0.92,0.3,0.01,0.0,2.0,0.0,nga
166.0,0.0,162.0,13.0,363.0,84.0,0.0,27.0,-0.92,0.3,0.01,0.0,2.0,0.0,nga
166.0,0.0,159.0,9.0,333.0,72.0,0.0,2.0,-0.92,0.31,0.01,0.0,2.0,0.0,nga
168.0,0.0,158.0,6.0,300.0,60.0,0.0,0.0,-0.92,0.31,0.01,0.0,1.0,0.0,nga
162.0,0.0,155.0,1.0,264.0,46.0,0.0,0.0,-0.92,0.31,0.0,-1.0,1.0,0.0,nga
152.0,0.0,153.0,0.0,234.0,36.0,0.0,0.0,-0.91,0.31,0.0,-2.0,1.0,0.0,nga
152.0,0.0,149.0,0.0,207.0,27.0,0.0,0.0,-0.92,0.31,0.0,-2.0,2.0,1.0,nga
150.0,0.0,146.0,0.0,177.0,13.0,0.0,0.0,-0.92,0.32,-0.0,-3.0,4.0,1.0,nga
152.0,0.0,144.0,0.0,150.0,3.0,0.0,0.0,-0.92,0.31,0.0,-4.0,4.0,2.0,nga
156.0,0.0,144.0,0.0,153.0,3.0,0.0,0.0,-0.93,0.31,-0.0,-4.0,3.0,2.0,nga
158.0,0.0,144.0,0.0,153.0,3.0,0.0,0.0,-0.93,0.31,0.01,-4.0,4.0,2.0,nga
156.0,0.0,145.0,0.0,150.0,3.0,0.0,0.0,-0.94,0.3,0.01,-3.0,4.0,2.0,nga
158.0,0.0,145.0,0.0,153.0,3.0,0.0,0.0,-0.93,0.3,0.01,-3.0,4.0,2.0,nga
158.0,0.0,144.0,0.0,153.0,3.0,0.0,0.0,-0.93,0.3,0.02,-2.0,5.0,2.0,nga
158.0,0.0,144.0,0.0,156.0,3.0,0.0,0.0,-0.92,0.31,0.02,-2.0,4.0,1.0,nga
172.0,0.0,144.0,0.0,153.0,0.0,0.0,0.0,-0.93,0.31,0.02,0.0,4.0,1.0,nga
178.0,0.0,144.0,0.0,150.0,0.0,4.0,0.0,-0.92,0.31,0.02,-2.0,2.0,1.0,nga
182.0,0.0,145.0,0.0,147.0,0.0,2.0,0.0,-0.92,0.31,0.02,-1.0,1.0,0.0,nga
182.0,0.0,146.0,0.0,150.0,0.0,0.0,0.0,-0.92,0.31,0.02,-1.0,2.0,0.0,nga
180.0,0.0,146.0,0.0,150.0,0.0,0.0,0.0,-0.91,0.32,0.02,-1.0,2.0,0.0,nga
180.0,0.0,146.0,0.0,147.0,0.0,0.0,0.0,-0.91,0.32,0.02,-2.0,2.0,0.0,nga
172.0,0.0,146.0,0.0,147.0,0.0,0.0,0.0,-0.91,0.32,0.01,-2.0,2.0,0.0,nga
168.0,0.0,146.0,0.0,144.0,0.0,0.0,0.0,-0.91,0.33,0.01,-2.0,2.0,0.0,nga
168.0,0.0,146.0,0.0,144.0,0.0,2.0,0.0,-0.91,0.33,0.01,-3.0,1.0,-1.0,nga
170.0,0.0,147.0,0.0,144.0,0.0,4.0,0.0,-0.92,0.32,0.01,-4.0,2.0,-1.0,nga
168.0,0.0,147.0,0.0,144.0,0.0,0.0,0.0,-0.91,0.32,0.02,-4.0,1.0,-2.0,nga
160.0,0.0,148.0,0.0,156.0,0.0,0.0,0.0,-0.91,0.32,0.02,-3.0,2.0,-3.0,nga
158.0,2.0,148.0,0.0,156.0,0.0,0.0,0.0,-0.92,0.31,0.02,-3.0,2.0,-4.0,nga
154.0,2.0,148.0,0.0,159.0,0.0,0.0,0.0,-0.92,0.31,0.02,-3.0,2.0,-5.0,nga
156.0,4.0,148.0,0.0,162.0,1.0,0.0,0.0,-0.92,0.31,0.02,-3.0,2.0,-6.0,nga
154.0,4.0,148.0,0.0,165.0,1.0,0.0,0.0,-0.92,0.3,0.02,-3.0,3.0,-6.0,nga
160.0,2.0,148.0,0.0,168.0,3.0,0.0,0.0,-0.93,0.3,0.02,-4.0,3.0,-7.0,nga
164.0,0.0,148.0,0.0,165.0,3.0,0.0,0.0,-0.92,0.29,0.03,-5.0,4.0,-6.0,nga
164.0,0.0,149.0,0.0,165.0,3.0,0.0,0.0,-0.92,0.28,0.02,-4.0,4.0,-6.0,nga
166.0,0.0,148.0,0.0,165.0,3.0,0.0,0.0,-0.93,0.28,0.02,-2.0,5.0,-6.0,nga
164.0,4.0,148.0,0.0,168.0,3.0,0.0,0.0,-0.94,0.27,0.02,-2.0,5.0,-5.0,nga
158.0,2.0,148.0,0.0,156.0,7.0,0.0,0.0,-0.93,0.27,0.02,-2.0,5.0,-3.0,nga
152.0,2.0,148.0,0.0,156.0,7.0,0.0,0.0,-0.93,0.27,0.01,-1.0,6.0,-2.0,nga
152.0,2.0,148.0,0.0,150.0,7.0,0.0,0.0,-0.94,0.27,0.0,0.0,6.0,0.0,nga
152.0,4.0,147.0,0.0,144.0,7.0,0.0,0.0,-0.94,0.27,0.01,0.0,6.0,1.0,nga
150.0,4.0,147.0,0.0,141.0,7.0,0.0,0.0,-0.93,0.27,0.01,1.0,5.0,1.0,nga
150.0,4.0,147.0,0.0,138.0,7.0,0.0,0.0,-0.93,0.27,0.0,1.0,7.0,1.0,nga
148.0,4.0,147.0,0.0,144.0,6.0,0.0,0.0,-0.93,0.27,-0.0,2.0,9.0,1.0,nga
150.0,2.0,147.0,0.0,144.0,6.0,0.0,0.0,-0.93,0.28,-0.01,1.0,11.0,1.0,nga
146.0,2.0,148.0,0.0,141.0,7.0,0.0,0.0,-0.93,0.27,-0.01,-1.0,13.0,-1.0,nga
160.0,2.0,148.0,0.0,144.0,6.0,0.0,0.0,-0.93,0.28,-0.02,-2.0,14.0,-5.0,nga
168.0,2.0,148.0,0.0,144.0,1.0,2.0,0.0,-0.93,0.27,-0.04,-4.0,14.0,-10.0,nga
172.0,0.0,148.0,0.0,144.0,0.0,0.0,0.0,-0.93,0.26,-0.05,-6.0,13.0,-14.0,nga
176.0,0.0,147.0,0.0,135.0,0.0,0.0,0.0,-0.94,0.26,-0.05,-8.0,10.0,-20.0,nga
172.0,0.0,147.0,0.0,138.0,0.0,0.0,0.0,-0.94,0.24,-0.06,-9.0,8.0,-23.0,nga
176.0,0.0,147.0,0.0,141.0,0.0,0.0,0.0,-0.95,0.22,-0.07,-10.0,4.0,-26.0,nga
172.0,0.0,147.0,0.0,141.0,0.0,0.0,0.0,-0.96,0.19,-0.06,-9.0,0.0,-27.0,nga
174.0,2.0,147.0,0.0,141.0,0.0,0.0,0.0,-0.96,0.17,-0.07,-7.0,-9.0,-26.0,nga
172.0,2.0,147.0,0.0,141.0,1.0,0.0,0.0,-0.97,0.14,-0.04,-3.0,-15.0,-25.0,nga
168.0,4.0,147.0,0.0,141.0,3.0,0.0,0.0,-0.96,0.13,-0.03,1.0,-20.0,-20.0,nga
158.0,4.0,146.0,2.0,138.0,3.0,0.0,0.0,-0.97,0.11,-0.0,5.0,-24.0,-15.0,nga
156.0,8.0,146.0,5.0,138.0,7.0,0.0,0.0,-0.96,0.1,0.02,8.0,-25.0,-7.0,nga
158.0,12.0,146.0,8.0,138.0,9.0,0.0,0.0,-0.97,0.1,0.05,11.0,-26.0,0.0,nga
156.0,14.0,146.0,13.0,144.0,10.0,0.0,0.0,-0.96,0.1,0.07,13.0,-25.0,6.0,nga
156.0,12.0,147.0,17.0,147.0,10.0,0.0,0.0,-0.95,0.11,0.1,15.0,-22.0,12.0,nga
156.0,16.0,147.0,21.0,147.0,12.0,0.0,0.0,-0.95,0.13,0.12,16.0,-18.0,16.0,nga
152.0,16.0,147.0,26.0,147.0,13.0,0.0,0.0,-0.94,0.15,0.14,15.0,-12.0,19.0,nga
152.0,18.0,147.0,29.0,147.0,15.0,0.0,0.0,-0.94,0.17,0.15,14.0,-4.0,20.0,nga
154.0,20.0,147.0,30.0,147.0,15.0,0.0,0.0,-0.93,0.19,0.15,10.0,3.0,19.0,nga
156.0,22.0,147.0,32.0,150.0,13.0,0.0,0.0,-0.93,0.21,0.15,7.0,9.0,17.0,nga
154.0,24.0,146.0,33.0,147.0,13.0,0.0,0.0,-0.93,0.22,0.14,4.0,14.0,14.0,nga
154.0,24.0,146.0,33.0,150.0,13.0,0.0,0.0,-0.93,0.24,0.13,0.0,18.0,11.0,nga
156.0,24.0,146.0,33.0,147.0,13.0,0.0,0.0,-0.92,0.25,0.11,-2.0,20.0,6.0,nga
154.0,28.0,146.0,31.0,147.0,13.0,11.0,0.0,-0.93,0.25,0.09,-7.0,24.0,2.0,nga
158.0,20.0,146.0,29.0,147.0,13.0,14.0,0.0,-0.93,0.26,0.08,-8.0,24.0,-3.0,nga
156.0,20.0,146.0,27.0,144.0,15.0,23.0,0.0,-0.93,0.25,0.05,-10.0,25.0,-7.0,nga
160.0,18.0,145.0,27.0,144.0,13.0,21.0,0.0,-0.94,0.25,0.03,-11.0,22.0,-12.0,nga
160.0,18.0,145.0,27.0,138.0,13.0,23.0,0.0,-0.94,0.24,0.01,-14.0,20.0,-16.0,nga
160.0,18.0,144.0,25.0,138.0,12.0,21.0,0.0,-0.95,0.22,-0.0,-14.0,14.0,-19.0,nga
162.0,14.0,143.0,24.0,138.0,13.0,26.0,0.0,-0.96,0.2,-0.01,-15.0,10.0,-21.0,nga
158.0,14.0,143.0,23.0,138.0,13.0,23.0,0.0,-0.97,0.18,-0.01,-14.0,4.0,-22.0,nga
162.0,6.0,144.0,23.0,138.0,13.0,23.0,0.0,-0.96,0.16,-0.01,-12.0,-2.0,-22.0,nga
158.0,6.0,143.0,23.0,138.0,15.0,31.0,0.0,-0.97,0.14,-0.01,-9.0,-7.0,-21.0,nga
154.0,2.0,144.0,23.0,138.0,13.0,0.0,0.0,-0.96,0.13,-0.0,-6.0,-15.0,-18.0,nga
154.0,12.0,143.0,24.0,135.0,15.0,0.0,0.0,-0.97,0.11,0.02,-1.0,-18.0,-14.0,nga
152.0,12.0,143.0,25.0,135.0,15.0,0.0,0.0,-0.96,0.09,0.03,3.0,-22.0,-9.0,nga
156.0,14.0,144.0,26.0,135.0,16.0,0.0,0.0,-0.96,0.09,0.06,8.0,-22.0,-3.0,nga
154.0,14.0,144.0,24.0,141.0,16.0,0.0,0.0,-0.95,0.09,0.08,12.0,-23.0,3.0,nga
156.0,14.0,144.0,26.0,141.0,18.0,0.0,0.0,-0.94,0.1,0.11,16.0,-19.0,9.0,nga
154.0,14.0,145.0,28.0,141.0,18.0,0.0,0.0,-0.94,0.12,0.13,20.0,-17.0,14.0,nga
154.0,14.0,145.0,29.0,141.0,16.0,0.0,0.0,-0.92,0.14,0.14,21.0,-10.0,18.0,nga
156.0,22.0,145.0,30.0,144.0,18.0,0.0,0.0,-0.93,0.17,0.15,21.0,-2.0,20.0,nga
156.0,24.0,145.0,30.0,147.0,16.0,0.0,0.0,-0.92,0.19,0.14,17.0,8.0,20.0,nga
160.0,22.0,144.0,32.0,147.0,18.0,0.0,0.0,-0.92,0.21,0.14,14.0,16.0,19.0,nga
160.0,22.0,144.0,32.0,147.0,16.0,2.0,0.0,-0.92,0.23,0.12,9.0,22.0,15.0,nga
160.0,24.0,144.0,32.0,147.0,16.0,4.0,0.0,-0.92,0.24,0.11,3.0,27.0,11.0,nga
158.0,24.0,144.0,31.0,147.0,15.0,2.0,0.0,-0.92,0.25,0.08,-1.0,28.0,5.0,nga
156.0,24.0,143.0,32.0,147.0,15.0,31.0,0.0,-0.92,0.25,0.05,-5.0,30.0,0.0,nga
160.0,20.0,143.0,31.0,141.0,16.0,33.0,0.0,-0.93,0.25,0.03,-9.0,28.0,-7.0,nga
