idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,162.0,102.0,52.0,318.0,-0.25,0.93,0.19,0.0,-2.0,-1.0,tin
0.0,0.0,0.0,0.0,138.0,90.0,47.0,295.0,-0.26,0.94,0.19,0.0,0.0,0.0,tin
0.0,0.0,0.0,0.0,111.0,78.0,42.0,269.0,-0.25,0.94,0.19,1.0,0.0,1.0,tin
0.0,0.0,0.0,0.0,75.0,63.0,45.0,244.0,-0.25,0.94,0.19,3.0,-2.0,2.0,tin
0.0,0.0,0.0,0.0,48.0,51.0,45.0,221.0,-0.25,0.95,0.18,1.0,-1.0,2.0,tin
0.0,0.0,0.0,0.0,15.0,37.0,45.0,190.0,-0.26,0.95,0.18,2.0,0.0,2.0,tin
0.0,0.0,0.0,0.0,0.0,24.0,45.0,165.0,-0.26,0.96,0.18,4.0,0.0,4.0,tin
0.0,0.0,0.0,0.0,0.0,10.0,45.0,142.0,-0.25,0.96,0.17,6.0,-2.0,7.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,45.0,117.0,-0.23,0.96,0.16,6.0,-2.0,8.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,40.0,89.0,-0.23,0.96,0.16,7.0,-2.0,8.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,35.0,91.0,-0.23,0.94,0.15,9.0,-3.0,8.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,38.0,91.0,-0.21,0.92,0.15,10.0,-6.0,7.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,42.0,91.0,-0.21,0.92,0.14,10.0,-4.0,5.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,42.0,91.0,-0.2,0.92,0.13,8.0,-4.0,5.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,50.0,94.0,-0.17,0.93,0.12,5.0,-4.0,6.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,54.0,96.0,-0.14,0.92,0.12,3.0,-4.0,7.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,52.0,96.0,-0.11,0.93,0.12,0.0,-5.0,5.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,52.0,96.0,-0.1,0.93,0.12,-3.0,-3.0,3.0,tin
