idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0,0,0,0,24,15,44,45,-0.23,0.91,0.32,0,3,0,char
0,0,0,0,14,10,51,38,-0.23,0.91,0.33,-2,3,0,char
0,0,0,0,8,7,52,31,-0.23,0.91,0.33,0,3,0,char
0,0,0,0,0,2,49,28,-0.23,0.91,0.33,0,3,1,char
0,0,0,0,0,0,52,25,-0.23,0.92,0.33,0,3,1,char
0,0,0,0,0,0,52,18,-0.23,0.93,0.33,2,3,2,char
0,0,0,0,0,0,52,11,-0.22,0.93,0.33,4,3,4,char
0,0,0,0,0,0,68,6,-0.23,0.94,0.32,5,2,5,char
0,0,0,0,0,0,68,1,-0.22,0.94,0.3,7,0,7,char
0,0,0,0,0,0,68,0,-0.22,0.94,0.29,7,0,8,char
0,0,0,0,0,0,68,0,-0.22,0.94,0.28,7,1,9,char
0,0,0,0,0,0,66,0,-0.22,0.94,0.27,9,0,12,char
0,0,0,0,0,0,69,0,-0.21,0.94,0.26,12,-3,14,char
0,0,0,0,0,0,88,0,-0.19,0.93,0.25,15,-7,16,char
0,0,0,0,0,0,85,0,-0.17,0.92,0.23,19,-12,17,char
0,0,0,0,0,0,83,0,-0.16,0.9,0.23,21,-15,15,char
0,0,0,0,0,0,87,0,-0.14,0.89,0.22,22,-18,13,char
0,0,0,0,0,0,69,0,-0.13,0.92,0.21,23,-21,9,char
0,0,0,0,0,0,71,0,-0.1,0.92,0.2,23,-25,6,char
0,0,0,0,0,0,69,0,-0.09,0.92,0.19,22,-26,3,char
0,0,0,0,0,0,69,0,-0.08,0.92,0.18,23,-28,0,char
0,0,0,0,0,0,71,0,-0.08,0.93,0.17,24,-30,-6,char
0,0,0,0,0,0,71,0,-0.08,0.95,0.15,21,-29,-10,char
0,0,0,0,0,0,51,0,-0.1,0.97,0.15,16,-28,-12,char
0,0,0,0,0,0,52,0,-0.11,0.99,0.14,10,-26,-13,char
0,0,0,0,0,0,52,0,-0.12,1,0.13,5,-25,-12,char
0,0,0,0,0,0,51,0,-0.12,1.01,0.12,1,-22,-10,char
0,0,0,0,0,0,52,0,-0.12,0.98,0.12,0,-18,-7,char
0,0,0,0,0,0,51,0,-0.13,0.99,0.12,-3,-11,-6,char
0,0,0,0,0,0,52,0,-0.14,0.98,0.12,-3,-11,-4,char
0,0,0,0,0,0,52,0,-0.14,0.98,0.12,-5,-8,-2,char
0,0,0,0,0,0,51,0,-0.15,0.97,0.13,-7,-4,0,char
0,0,0,0,0,0,58,0,-0.14,0.97,0.14,-6,-3,1,char
0,0,0,0,0,0,59,0,-0.13,0.96,0.14,-6,0,1,char
0,0,0,0,0,0,58,0,-0.14,0.95,0.14,-4,2,2,char
0,0,0,0,0,0,58,0,-0.14,0.95,0.15,-3,2,2,char
0,0,0,0,0,0,58,0,-0.13,0.95,0.14,-3,3,2,char
0,0,0,0,0,0,58,0,-0.14,0.96,0.15,-2,3,2,char
0,0,0,0,0,0,54,0,-0.13,0.96,0.15,-2,2,2,char
0,0,0,0,0,0,54,0,-0.13,0.97,0.16,-1,2,3,char
0,0,0,0,0,0,54,0,-0.13,0.97,0.16,0,1,4,char
0,0,0,0,0,0,54,0,-0.12,0.96,0.15,0,0,5,char
0,0,0,0,0,0,47,0,-0.11,0.95,0.15,1,0,6,char
0,0,0,0,0,0,46,0,-0.1,0.95,0.14,2,0,5,char
0,0,0,0,0,0,46,0,-0.09,0.95,0.13,3,1,4,char
0,0,0,0,0,0,47,0,-0.09,0.96,0.12,3,2,3,char
0,0,0,0,0,0,47,0,-0.09,0.95,0.12,3,2,2,char
0,0,0,0,0,0,47,0,-0.09,0.95,0.12,2,3,1,char
0,0,0,0,0,0,51,0,-0.09,0.95,0.11,3,3,0,char
0,0,0,0,0,0,49,0,-0.09,0.95,0.1,3,4,-1,char
0,0,0,0,0,0,49,0,-0.1,0.95,0.1,2,3,-3,char
0,0,0,0,0,0,51,0,-0.1,0.96,0.1,0,3,-4,char
0,0,0,0,0,0,51,0,-0.1,0.97,0.11,-2,1,-5,char
0,0,0,0,0,0,51,0,-0.11,0.98,0.11,-4,3,-6,char
0,0,0,0,0,0,51,0,-0.12,0.98,0.12,-6,4,-7,char
0,0,0,0,0,0,51,0,-0.12,0.98,0.13,-6,5,-6,char
0,0,0,0,0,0,49,0,-0.12,0.98,0.13,-6,7,-6,char
0,0,0,0,0,0,49,0,-0.12,0.98,0.13,-5,8,-5,char
0,0,0,0,0,0,49,0,-0.12,0.98,0.13,-6,10,-5,char
0,0,0,0,0,0,49,0,-0.13,0.97,0.13,-7,18,-5,char
0,0,0,0,0,0,49,0,-0.14,0.97,0.14,-7,22,-4,char
0,0,0,0,0,0,42,0,-0.14,0.96,0.14,-5,23,-4,char
0,0,0,0,0,0,44,0,-0.15,0.96,0.14,-5,24,-4,char
0,0,0,0,0,0,46,0,-0.15,0.96,0.13,-4,22,-3,char
0,0,0,0,0,0,51,0,-0.15,0.96,0.13,-4,20,-3,char
0,0,0,0,0,0,49,0,-0.15,0.96,0.13,-4,20,-3,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.13,-5,21,-4,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.13,-5,23,-4,char
0,0,0,0,0,0,49,0,-0.17,0.96,0.13,-5,23,-4,char
0,0,0,0,0,0,49,0,-0.18,0.96,0.13,-5,17,-3,char
0,0,0,0,0,0,44,0,-0.17,0.96,0.13,-5,13,-3,char
0,0,0,0,0,0,49,0,-0.17,0.96,0.13,-6,14,-3,char
0,0,0,0,0,0,47,0,-0.18,0.96,0.13,-6,14,-3,char
0,0,0,0,0,0,47,0,-0.18,0.96,0.13,-6,14,-2,char
0,0,0,0,0,0,42,0,-0.18,0.95,0.14,-5,14,-2,char
0,0,0,0,0,0,42,0,-0.18,0.95,0.14,-4,13,-1,char
0,0,0,0,0,0,44,0,-0.18,0.95,0.14,-4,9,0,char
0,0,0,0,0,0,44,0,-0.18,0.95,0.14,-3,7,0,char
0,0,0,0,0,0,44,0,-0.18,0.95,0.14,-4,8,-1,char
0,0,0,0,0,0,44,0,-0.18,0.95,0.15,-4,8,-2,char
0,0,0,0,0,0,49,0,-0.18,0.95,0.14,-4,7,-1,char
0,0,0,0,0,0,49,0,-0.18,0.95,0.14,-3,7,-1,char
0,0,0,0,0,0,47,0,-0.18,0.95,0.14,-3,7,0,char
0,0,0,0,0,0,51,0,-0.18,0.95,0.14,-2,7,0,char
0,0,0,0,0,0,52,0,-0.18,0.95,0.14,0,3,0,char
0,0,0,0,0,0,52,0,-0.18,0.95,0.14,0,1,0,char
0,0,0,0,0,0,51,0,-0.18,0.96,0.14,0,0,0,char
0,0,0,0,0,0,54,0,-0.19,0.95,0.14,0,-3,0,char
0,0,0,0,0,0,56,0,-0.18,0.96,0.14,1,-7,1,char
0,0,0,0,0,0,54,0,-0.18,0.96,0.14,1,-9,1,char
0,0,0,0,0,0,54,0,-0.18,0.96,0.14,1,-9,1,char
0,0,0,0,0,0,54,0,-0.18,0.96,0.14,2,-10,1,char
0,0,0,0,0,0,54,0,-0.18,0.96,0.14,2,-10,1,char
0,0,0,0,0,0,54,0,-0.17,0.96,0.14,1,-10,0,char
0,0,0,0,0,0,56,0,-0.17,0.96,0.14,0,-7,0,char
0,0,0,0,0,0,56,0,-0.17,0.95,0.14,0,-6,0,char
0,0,0,0,0,0,58,0,-0.17,0.95,0.14,0,-6,0,char
0,0,0,0,0,0,54,0,-0.17,0.95,0.14,0,-4,0,char
0,0,0,0,0,0,54,0,-0.17,0.95,0.14,0,-4,0,char
0,0,0,0,0,0,54,0,-0.16,0.95,0.13,0,-4,0,char
0,0,0,0,0,0,54,0,-0.16,0.95,0.13,0,-4,0,char
0,0,0,0,0,0,54,0,-0.16,0.95,0.13,0,-5,0,char
0,0,0,0,0,0,56,0,-0.16,0.95,0.13,0,-5,0,char
0,0,0,0,0,0,52,0,-0.16,0.96,0.13,0,-5,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.13,0,-5,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.13,0,-5,0,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.13,0,-4,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.13,0,-4,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.14,0,-5,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.13,0,-6,0,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.14,0,-6,-1,char
0,0,0,0,0,0,51,0,-0.16,0.96,0.14,0,-5,-1,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.14,0,-5,-1,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.14,0,-4,-1,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.14,-1,-4,-1,char
0,0,0,0,0,0,47,0,-0.16,0.96,0.14,-1,-3,-1,char
0,0,0,0,0,0,49,0,-0.16,0.96,0.14,-1,-3,-2,char
0,0,0,0,0,0,47,0,-0.16,0.96,0.14,-1,-2,-2,char
0,0,0,0,0,0,42,0,-0.16,0.96,0.14,-1,-1,-2,char
0,0,0,0,0,0,44,0,-0.16,0.96,0.14,0,0,-1,char
0,0,0,0,0,0,42,0,-0.16,0.96,0.14,0,0,-1,char
0,0,0,0,0,0,42,0,-0.16,0.96,0.14,0,-2,0,char
0,0,0,0,0,0,44,0,-0.15,0.96,0.14,0,-3,0,char
0,0,0,0,0,0,46,0,-0.16,0.96,0.14,0,-4,0,char
0,0,0,0,0,0,46,0,-0.16,0.96,0.14,1,-6,0,char
0,0,0,0,0,0,47,0,-0.16,0.96,0.14,1,-9,0,char
0,0,0,0,0,0,47,0,-0.16,0.96,0.14,1,-10,0,char
0,0,0,0,0,0,47,0,-0.15,0.96,0.14,1,-12,1,char
0,0,0,0,0,0,51,0,-0.15,0.96,0.13,1,-13,1,char
0,0,0,0,0,0,51,0,-0.15,0.96,0.14,1,-14,1,char
0,0,0,0,0,0,52,0,-0.14,0.96,0.14,0,-14,1,char
0,0,0,0,0,0,52,0,-0.14,0.96,0.13,0,-12,1,char
0,0,0,0,0,0,52,0,-0.14,0.96,0.14,0,-13,1,char
0,0,0,0,0,0,51,0,-0.13,0.96,0.14,0,-15,1,char
0,0,0,0,0,0,51,0,-0.13,0.96,0.14,0,-12,1,char
0,0,0,0,0,0,51,0,-0.13,0.96,0.14,0,-10,1,char
0,0,0,0,0,0,51,0,-0.12,0.96,0.14,0,-8,0,char
0,0,0,0,0,0,51,0,-0.12,0.96,0.15,0,-6,0,char
0,0,0,0,0,0,51,0,-0.12,0.96,0.15,0,-4,0,char
0,0,0,0,0,0,51,0,-0.12,0.96,0.15,0,-2,0,char
0,0,0,0,0,0,52,0,-0.12,0.96,0.14,-2,3,-1,char
0,0,0,0,0,0,52,0,-0.12,0.96,0.15,-2,7,-2,char
0,0,0,0,0,0,52,0,-0.12,0.96,0.15,-2,10,-2,char
0,0,0,0,0,0,51,0,-0.13,0.96,0.15,-3,12,-2,char
0,0,0,0,0,0,52,0,-0.13,0.96,0.15,-3,12,-2,char
0,0,0,0,0,0,56,0,-0.13,0.96,0.15,-4,13,-2,char
0,0,0,0,0,0,56,0,-0.13,0.96,0.15,-4,13,-2,char
0,0,0,0,0,0,56,0,-0.14,0.96,0.15,-4,13,-2,char
0,0,0,0,0,0,56,0,-0.14,0.96,0.15,-4,12,-2,char
0,0,0,0,0,0,56,0,-0.14,0.96,0.15,-5,11,-1,char
0,0,0,0,0,0,52,0,-0.15,0.96,0.16,-4,7,0,char
0,0,0,0,0,0,56,0,-0.14,0.96,0.16,-4,4,0,char
0,0,0,0,0,0,54,0,-0.14,0.96,0.16,-5,3,0,char
0,0,0,0,0,0,54,0,-0.14,0.96,0.16,-5,3,0,char
0,0,0,0,0,0,54,0,-0.14,0.96,0.16,-5,3,0,char
0,0,0,0,0,0,49,0,-0.14,0.96,0.16,-5,4,0,char
0,0,0,0,0,0,49,0,-0.14,0.95,0.16,-5,4,0,char
0,0,0,0,0,0,49,0,-0.14,0.95,0.16,-5,4,0,char
0,0,0,0,0,0,47,0,-0.14,0.95,0.17,-5,3,0,char
0,0,0,0,0,0,47,0,-0.14,0.95,0.17,-4,3,0,char
0,0,0,0,0,0,51,0,-0.14,0.95,0.17,-3,3,0,char
0,0,0,0,0,0,47,0,-0.14,0.95,0.17,-2,3,0,char
0,0,0,0,0,0,49,0,-0.14,0.95,0.17,-2,3,0,char
0,0,0,0,0,0,47,0,-0.14,0.95,0.17,-1,3,0,char
0,0,0,0,0,0,49,0,-0.14,0.95,0.17,0,2,0,char
0,0,0,0,0,0,49,0,-0.14,0.95,0.17,1,2,-1,char
0,0,0,0,0,0,51,0,-0.14,0.95,0.17,3,2,-1,char
0,0,0,0,0,0,51,0,-0.14,0.95,0.17,4,1,-2,char
0,0,0,0,0,0,47,0,-0.14,0.96,0.16,5,1,-1,char
0,0,0,0,0,0,49,0,-0.13,0.96,0.15,4,5,-2,char
0,0,0,0,0,0,49,0,-0.14,0.96,0.15,3,12,-3,char
0,0,0,0,0,0,51,0,-0.15,0.96,0.15,3,13,-3,char
0,0,0,0,0,0,49,0,-0.14,0.96,0.13,2,17,-3,char
0,0,0,0,0,0,52,0,-0.15,0.96,0.13,1,21,-3,char
