idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,24.0,15.0,44.0,45.0,-0.23,0.91,0.32,0.0,3.0,0.0,char
0.0,0.0,0.0,0.0,14.0,10.0,51.0,38.0,-0.23,0.91,0.33,-2.0,3.0,0.0,char
0.0,0.0,0.0,0.0,8.0,7.0,52.0,31.0,-0.23,0.91,0.33,0.0,3.0,0.0,char
0.0,0.0,0.0,0.0,0.0,2.0,49.0,28.0,-0.23,0.91,0.33,0.0,3.0,1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,25.0,-0.23,0.92,0.33,0.0,3.0,1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,18.0,-0.23,0.93,0.33,2.0,3.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,11.0,-0.22,0.93,0.33,4.0,3.0,4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,68.0,6.0,-0.23,0.94,0.32,5.0,2.0,5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,-0.22,0.94,0.3,7.0,0.0,7.0,char
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.22,0.94,0.29,7.0,0.0,8.0,char
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.22,0.94,0.28,7.0,1.0,9.0,char
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.22,0.94,0.27,9.0,0.0,12.0,char
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.21,0.94,0.26,12.0,-3.0,14.0,char
0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,-0.19,0.93,0.25,15.0,-7.0,16.0,char
0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,-0.17,0.92,0.23,19.0,-12.0,17.0,char
0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,-0.16,0.9,0.23,21.0,-15.0,15.0,char
0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,-0.14,0.89,0.22,22.0,-18.0,13.0,char
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.13,0.92,0.21,23.0,-21.0,9.0,char
0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,-0.1,0.92,0.2,23.0,-25.0,6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.09,0.92,0.19,22.0,-26.0,3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.08,0.92,0.18,23.0,-28.0,0.0,char
0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,-0.08,0.93,0.17,24.0,-30.0,-6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,-0.08,0.95,0.15,21.0,-29.0,-10.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.1,0.97,0.15,16.0,-28.0,-12.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.11,0.99,0.14,10.0,-26.0,-13.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.12,1.0,0.13,5.0,-25.0,-12.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.12,1.01,0.12,1.0,-22.0,-10.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.12,0.98,0.12,0.0,-18.0,-7.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.13,0.99,0.12,-3.0,-11.0,-6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.14,0.98,0.12,-3.0,-11.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.14,0.98,0.12,-5.0,-8.0,-2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.15,0.97,0.13,-7.0,-4.0,0.0,char
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.14,0.97,0.14,-6.0,-3.0,1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,-0.13,0.96,0.14,-6.0,0.0,1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.14,0.95,0.14,-4.0,2.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.14,0.95,0.15,-3.0,2.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.13,0.95,0.14,-3.0,3.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.14,0.96,0.15,-2.0,3.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.13,0.96,0.15,-2.0,2.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.13,0.97,0.16,-1.0,2.0,3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.13,0.97,0.16,0.0,1.0,4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.12,0.96,0.15,0.0,0.0,5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.11,0.95,0.15,1.0,0.0,6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.1,0.95,0.14,2.0,0.0,5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.09,0.95,0.13,3.0,1.0,4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.09,0.96,0.12,3.0,2.0,3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.09,0.95,0.12,3.0,2.0,2.0,char
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.09,0.95,0.12,2.0,3.0,1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.09,0.95,0.11,3.0,3.0,0.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.09,0.95,0.1,3.0,4.0,-1.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.1,0.95,0.1,2.0,3.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.1,0.96,0.1,0.0,3.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.1,0.97,0.11,-2.0,1.0,-5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.11,0.98,0.11,-4.0,3.0,-6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.12,0.98,0.12,-6.0,4.0,-7.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.12,0.98,0.13,-6.0,5.0,-6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.12,0.98,0.13,-6.0,7.0,-6.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.12,0.98,0.13,-5.0,8.0,-5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.12,0.98,0.13,-6.0,10.0,-5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.13,0.97,0.13,-7.0,18.0,-5.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.14,0.97,0.14,-7.0,22.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,-0.14,0.96,0.14,-5.0,23.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,-0.15,0.96,0.14,-5.0,24.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.15,0.96,0.13,-4.0,22.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.15,0.96,0.13,-4.0,20.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.15,0.96,0.13,-4.0,20.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.16,0.96,0.13,-5.0,21.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.16,0.96,0.13,-5.0,23.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.17,0.96,0.13,-5.0,23.0,-4.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.18,0.96,0.13,-5.0,17.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,-0.17,0.96,0.13,-5.0,13.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.17,0.96,0.13,-6.0,14.0,-3.0,char
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.18,0.96,0.13,-6.0,14.0,-3.0,char
