idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,28.0,25.0,68.0,35.0,-0.92,0.24,0.23,1.0,-1.0,-7.0,gha
0.0,0.0,0.0,0.0,24.0,19.0,68.0,30.0,-0.93,0.23,0.23,-4.0,0.0,-9.0,gha
0.0,0.0,0.0,0.0,15.0,14.0,66.0,23.0,-0.93,0.22,0.23,-7.0,0.0,-10.0,gha
0.0,0.0,0.0,0.0,8.0,10.0,64.0,16.0,-0.93,0.21,0.23,-8.0,0.0,-9.0,gha
0.0,0.0,0.0,0.0,5.0,5.0,66.0,11.0,-0.93,0.21,0.23,-8.0,1.0,-7.0,gha
0.0,0.0,0.0,0.0,0.0,1.0,61.0,3.0,-0.92,0.21,0.23,-9.0,2.0,-6.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,-0.91,0.21,0.24,-9.0,3.0,-5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,-0.91,0.21,0.23,-10.0,4.0,-5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.9,0.22,0.24,-9.0,3.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.9,0.22,0.24,-12.0,6.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.92,0.21,0.25,-12.0,5.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.92,0.21,0.25,-10.0,3.0,-5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.93,0.2,0.25,-10.0,5.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,-0.93,0.19,0.25,-9.0,4.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.93,0.19,0.25,-10.0,4.0,-6.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.94,0.18,0.25,-10.0,3.0,-8.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,-0.95,0.17,0.25,-10.0,2.0,-9.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-0.96,0.15,0.25,-9.0,2.0,-9.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,-0.96,0.14,0.25,-8.0,2.0,-9.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,-0.96,0.13,0.24,-6.0,1.0,-8.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.94,0.13,0.23,-5.0,2.0,-7.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.94,0.13,0.24,-5.0,2.0,-7.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.93,0.13,0.24,-4.0,1.0,-7.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.93,0.13,0.24,-3.0,1.0,-7.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.93,0.13,0.24,-2.0,0.0,-6.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.93,0.12,0.25,-1.0,0.0,-5.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.94,0.12,0.25,-1.0,0.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.93,0.12,0.26,-2.0,0.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.94,0.12,0.26,-3.0,-1.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.94,0.12,0.27,-3.0,-1.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.94,0.12,0.27,-4.0,-1.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.94,0.12,0.28,-4.0,0.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.94,0.12,0.28,-5.0,0.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.94,0.12,0.28,-8.0,2.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.94,0.12,0.28,-8.0,3.0,-4.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.94,0.12,0.28,-7.0,5.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.94,0.11,0.28,-5.0,8.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.93,0.11,0.28,-5.0,10.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,-0.94,0.11,0.27,-5.0,13.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.94,0.11,0.26,-3.0,14.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.94,0.1,0.25,-2.0,15.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.95,0.1,0.24,-2.0,15.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.95,0.1,0.23,-2.0,14.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.95,0.1,0.22,0.0,13.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.1,0.2,1.0,12.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.1,0.19,0.0,12.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.1,0.19,-2.0,10.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.97,0.1,0.19,-2.0,9.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,-0.96,0.1,0.18,-2.0,7.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.97,0.09,0.18,-2.0,6.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.09,0.18,-3.0,6.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.09,0.18,-4.0,6.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.96,0.09,0.17,-3.0,6.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,-0.96,0.09,0.16,-2.0,6.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.96,0.09,0.16,-3.0,6.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.96,0.09,0.16,-3.0,4.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.96,0.09,0.16,-2.0,3.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.96,0.09,0.16,-2.0,2.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,-0.96,0.09,0.16,-3.0,4.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,-0.96,0.08,0.16,-3.0,3.0,-3.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.96,0.08,0.16,-4.0,3.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.96,0.08,0.16,-3.0,4.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.96,0.08,0.16,-4.0,4.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,-0.96,0.08,0.16,-4.0,4.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.96,0.07,0.16,-5.0,4.0,-2.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.96,0.07,0.16,-4.0,5.0,-1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.95,0.07,0.15,-4.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.95,0.07,0.15,-4.0,7.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.95,0.07,0.15,-3.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-0.96,0.07,0.14,-3.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,-0.96,0.07,0.14,-2.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,-0.96,0.08,0.14,0.0,6.0,1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,-0.96,0.08,0.13,-1.0,5.0,1.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.96,0.08,0.13,-2.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.96,0.08,0.13,-2.0,6.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.96,0.08,0.13,-1.0,5.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.97,0.08,0.12,-1.0,5.0,0.0,gha
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.97,0.08,0.12,-2.0,5.0,0.0,gha
