idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,25.0,150.0,124.0,125.0,76.0,30.0,146.0,-0.03,0.94,0.33,-3.0,3.0,4.0,ka
0.0,25.0,149.0,122.0,121.0,72.0,37.0,139.0,-0.03,0.94,0.33,-2.0,2.0,3.0,ka
0.0,25.0,147.0,121.0,111.0,67.0,39.0,127.0,-0.03,0.94,0.33,-3.0,3.0,2.0,ka
0.0,25.0,145.0,119.0,102.0,63.0,39.0,124.0,-0.02,0.94,0.33,-3.0,3.0,2.0,ka
0.0,25.0,143.0,117.0,91.0,58.0,35.0,116.0,-0.02,0.94,0.33,-3.0,3.0,1.0,ka
0.0,23.0,141.0,114.0,83.0,52.0,34.0,109.0,-0.02,0.94,0.33,-3.0,3.0,0.0,ka
0.0,23.0,139.0,112.0,74.0,48.0,34.0,104.0,-0.02,0.94,0.33,-3.0,3.0,0.0,ka
0.0,23.0,138.0,110.0,70.0,43.0,34.0,94.0,-0.02,0.94,0.33,-3.0,3.0,0.0,ka
0.0,25.0,136.0,108.0,63.0,38.0,34.0,87.0,-0.02,0.94,0.33,-2.0,4.0,0.0,ka
0.0,23.0,135.0,107.0,54.0,34.0,34.0,82.0,-0.03,0.94,0.33,-3.0,4.0,0.0,ka
0.0,23.0,133.0,107.0,54.0,34.0,32.0,80.0,-0.03,0.94,0.34,-3.0,4.0,1.0,ka
0.0,22.0,134.0,107.0,56.0,33.0,25.0,84.0,-0.03,0.93,0.34,-3.0,4.0,1.0,ka
0.0,22.0,134.0,108.0,56.0,33.0,25.0,85.0,-0.03,0.94,0.34,-2.0,4.0,2.0,ka
0.0,22.0,134.0,108.0,56.0,31.0,25.0,84.0,-0.03,0.94,0.34,-3.0,4.0,2.0,ka
0.0,20.0,134.0,107.0,54.0,33.0,25.0,84.0,-0.03,0.93,0.34,-3.0,4.0,2.0,ka
0.0,19.0,134.0,107.0,54.0,33.0,25.0,84.0,-0.03,0.94,0.34,-3.0,4.0,2.0,ka
0.0,19.0,134.0,107.0,56.0,33.0,25.0,84.0,-0.03,0.94,0.34,-3.0,4.0,1.0,ka
0.0,19.0,134.0,107.0,49.0,33.0,27.0,84.0,-0.03,0.94,0.34,-2.0,4.0,1.0,ka
0.0,19.0,134.0,107.0,44.0,33.0,25.0,84.0,-0.03,0.93,0.34,-4.0,3.0,1.0,ka
0.0,19.0,133.0,105.0,45.0,33.0,25.0,84.0,-0.03,0.93,0.35,-4.0,3.0,1.0,ka
0.0,19.0,134.0,106.0,45.0,31.0,25.0,84.0,-0.03,0.94,0.35,-4.0,3.0,0.0,ka
