idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,160.0,101.0,125.0,72.0,0.0,132.0,-0.08,0.85,0.52,-4.0,4.0,0.0,kha
0.0,0.0,159.0,96.0,114.0,68.0,0.0,127.0,-0.08,0.86,0.53,-2.0,2.0,0.0,kha
0.0,0.0,156.0,95.0,102.0,65.0,0.0,121.0,-0.08,0.85,0.53,2.0,0.0,0.0,kha
0.0,0.0,154.0,93.0,95.0,62.0,0.0,114.0,-0.07,0.87,0.52,4.0,-1.0,0.0,kha
0.0,0.0,151.0,91.0,86.0,58.0,0.0,107.0,-0.06,0.87,0.51,2.0,-4.0,-1.0,kha
0.0,0.0,149.0,90.0,91.0,54.0,0.0,102.0,-0.06,0.87,0.5,4.0,-6.0,0.0,kha
0.0,0.0,147.0,88.0,83.0,48.0,0.0,92.0,-0.05,0.88,0.5,4.0,-9.0,-2.0,kha
0.0,0.0,145.0,87.0,74.0,43.0,0.0,85.0,-0.06,0.88,0.5,4.0,-10.0,-2.0,kha
0.0,0.0,143.0,87.0,63.0,39.0,0.0,77.0,-0.06,0.88,0.49,4.0,-11.0,-3.0,kha
0.0,0.0,141.0,86.0,53.0,35.0,0.0,72.0,-0.06,0.88,0.49,3.0,-12.0,-4.0,kha
0.0,0.0,140.0,85.0,49.0,34.0,0.0,70.0,-0.05,0.88,0.48,0.0,-10.0,-6.0,kha
0.0,0.0,140.0,87.0,47.0,34.0,0.0,69.0,-0.04,0.88,0.48,-2.0,-9.0,-7.0,kha
0.0,0.0,141.0,87.0,49.0,31.0,0.0,69.0,-0.04,0.88,0.48,-3.0,-9.0,-7.0,kha
0.0,0.0,141.0,85.0,49.0,29.0,0.0,67.0,-0.05,0.88,0.49,-3.0,-7.0,-7.0,kha
0.0,0.0,140.0,85.0,44.0,28.0,0.0,67.0,-0.07,0.88,0.5,-3.0,-6.0,-6.0,kha
0.0,0.0,139.0,85.0,44.0,26.0,0.0,65.0,-0.08,0.88,0.5,-3.0,-5.0,-4.0,kha
0.0,0.0,140.0,85.0,42.0,28.0,0.0,63.0,-0.08,0.88,0.5,-2.0,-3.0,-1.0,kha
0.0,0.0,140.0,85.0,38.0,26.0,0.0,67.0,-0.08,0.88,0.49,-4.0,-2.0,1.0,kha
0.0,0.0,140.0,84.0,40.0,26.0,0.0,69.0,-0.07,0.88,0.48,-6.0,0.0,4.0,kha
0.0,0.0,140.0,84.0,42.0,25.0,0.0,72.0,-0.07,0.86,0.48,-9.0,2.0,6.0,kha
0.0,0.0,140.0,84.0,47.0,25.0,0.0,70.0,-0.07,0.86,0.5,-10.0,1.0,8.0,kha
0.0,0.0,140.0,84.0,47.0,24.0,0.0,70.0,-0.07,0.86,0.52,-11.0,1.0,11.0,kha
0.0,0.0,142.0,84.0,47.0,25.0,0.0,70.0,-0.06,0.86,0.53,-11.0,1.0,12.0,kha
0.0,0.0,142.0,85.0,47.0,25.0,0.0,70.0,-0.05,0.86,0.54,-11.0,0.0,14.0,kha
