idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
72.0,10.0,159.0,111.0,143.0,66.0,0.0,11.0,-0.91,0.32,0.14,0.0,0.0,-2.0,nga
72.0,10.0,156.0,109.0,134.0,61.0,0.0,1.0,-0.91,0.32,0.14,0.0,0.0,-2.0,nga
77.0,11.0,154.0,107.0,125.0,56.0,0.0,0.0,-0.91,0.32,0.14,0.0,0.0,-2.0,nga
79.0,11.0,152.0,105.0,116.0,52.0,0.0,0.0,-0.91,0.32,0.14,0.0,0.0,-2.0,nga
79.0,11.0,151.0,102.0,106.0,48.0,0.0,0.0,-0.91,0.32,0.15,0.0,0.0,-1.0,nga
79.0,13.0,149.0,99.0,95.0,40.0,0.0,0.0,-0.91,0.31,0.15,0.0,1.0,0.0,nga
79.0,11.0,147.0,98.0,88.0,36.0,0.0,0.0,-0.91,0.31,0.16,-1.0,1.0,0.0,nga
79.0,13.0,146.0,95.0,81.0,33.0,0.0,0.0,-0.9,0.32,0.16,-2.0,1.0,0.0,nga
77.0,13.0,143.0,94.0,67.0,28.0,0.0,0.0,-0.9,0.32,0.16,-2.0,2.0,0.0,nga
82.0,14.0,141.0,93.0,61.0,22.0,0.0,0.0,-0.9,0.32,0.16,-1.0,2.0,0.0,nga
82.0,14.0,141.0,93.0,61.0,22.0,0.0,0.0,-0.9,0.32,0.16,-2.0,1.0,0.0,nga
84.0,14.0,141.0,92.0,60.0,22.0,0.0,0.0,-0.9,0.32,0.16,-1.0,2.0,0.0,nga
77.0,13.0,141.0,92.0,58.0,22.0,0.0,0.0,-0.91,0.32,0.17,0.0,2.0,0.0,nga
77.0,13.0,141.0,93.0,54.0,22.0,0.0,0.0,-0.92,0.33,0.16,0.0,2.0,0.0,nga
74.0,13.0,141.0,92.0,60.0,21.0,0.0,0.0,-0.92,0.32,0.15,-1.0,2.0,0.0,nga
77.0,10.0,141.0,92.0,61.0,21.0,0.0,0.0,-0.92,0.32,0.14,-3.0,1.0,0.0,nga
77.0,11.0,141.0,93.0,61.0,20.0,0.0,0.0,-0.92,0.31,0.14,-2.0,0.0,1.0,nga
77.0,10.0,141.0,93.0,63.0,19.0,0.0,0.0,-0.91,0.32,0.14,-1.0,0.0,1.0,nga
72.0,13.0,140.0,93.0,65.0,21.0,0.0,0.0,-0.92,0.32,0.14,-3.0,-2.0,0.0,nga
69.0,13.0,140.0,93.0,65.0,20.0,0.0,0.0,-0.92,0.32,0.15,-4.0,-3.0,0.0,nga
69.0,11.0,140.0,93.0,65.0,20.0,0.0,0.0,-0.92,0.31,0.16,-4.0,-2.0,0.0,nga
69.0,13.0,140.0,94.0,67.0,20.0,0.0,0.0,-0.91,0.32,0.16,-5.0,-2.0,-1.0,nga
69.0,14.0,141.0,94.0,67.0,20.0,0.0,0.0,-0.91,0.32,0.17,-6.0,-2.0,-2.0,nga
69.0,14.0,140.0,94.0,75.0,20.0,0.0,0.0,-0.9,0.31,0.18,-7.0,-3.0,-3.0,nga
72.0,14.0,141.0,94.0,75.0,20.0,0.0,0.0,-0.89,0.31,0.19,-7.0,-2.0,-4.0,nga
69.0,14.0,144.0,95.0,74.0,20.0,0.0,0.0,-0.9,0.32,0.19,-7.0,-2.0,-5.0,nga
67.0,14.0,144.0,94.0,72.0,20.0,0.0,0.0,-0.9,0.32,0.19,-8.0,-1.0,-5.0,nga
69.0,14.0,144.0,94.0,70.0,20.0,0.0,0.0,-0.91,0.31,0.2,-8.0,0.0,-6.0,nga
74.0,11.0,145.0,94.0,74.0,20.0,0.0,0.0,-0.91,0.31,0.2,-9.0,0.0,-5.0,nga
