idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,ax,ay,az,gx,gy,gz,label
0.0,0.0,0.0,0.0,17.0,16.0,11.0,117.0,-0.26,0.89,0.34,-5.0,4.0,3.0,tin
0.0,0.0,0.0,0.0,10.0,14.0,10.0,111.0,-0.26,0.89,0.34,-4.0,4.0,4.0,tin
0.0,0.0,0.0,0.0,1.0,10.0,10.0,104.0,-0.25,0.9,0.34,-4.0,6.0,4.0,tin
0.0,0.0,0.0,0.0,0.0,5.0,6.0,95.0,-0.25,0.9,0.34,-4.0,4.0,4.0,tin
0.0,0.0,0.0,0.0,0.0,1.0,8.0,90.0,-0.25,0.9,0.35,-4.0,5.0,3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,85.0,-0.25,0.89,0.36,-3.0,4.0,3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,-0.25,0.89,0.35,-2.0,3.0,2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,-0.24,0.89,0.35,-1.0,2.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,65.0,-0.24,0.9,0.34,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,-0.25,0.9,0.34,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,-0.25,0.89,0.34,-2.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,-0.25,0.9,0.33,-3.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,-0.25,0.9,0.33,-2.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,-0.25,0.91,0.33,-3.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,-0.25,0.9,0.33,-4.0,1.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,-0.26,0.9,0.34,-5.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,-0.26,0.91,0.34,-5.0,2.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,-0.26,0.9,0.35,-6.0,2.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,-0.26,0.9,0.36,-6.0,1.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,-0.26,0.9,0.37,-7.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,-0.26,0.89,0.37,-6.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,-0.25,0.89,0.37,-6.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,-0.25,0.89,0.38,-6.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,-0.25,0.88,0.38,-5.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,-0.25,0.88,0.38,-4.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,-0.25,0.88,0.38,-4.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,-0.25,0.88,0.37,-4.0,1.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,-0.25,0.88,0.38,-4.0,2.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,-0.25,0.88,0.38,-4.0,3.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,53.0,-0.25,0.88,0.38,-3.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0,-0.25,0.88,0.38,-2.0,4.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,-0.25,0.88,0.38,-3.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,-0.25,0.88,0.39,-3.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,-0.25,0.88,0.39,-2.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,17.0,55.0,-0.25,0.88,0.39,-2.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,-0.25,0.88,0.38,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,-0.25,0.89,0.39,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,57.0,-0.26,0.88,0.39,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,57.0,-0.26,0.88,0.39,0.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,-0.26,0.88,0.38,0.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,-0.25,0.88,0.38,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.0,-0.25,0.88,0.39,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,-0.25,0.88,0.39,-1.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,57.0,-0.26,0.88,0.39,-1.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,-0.26,0.88,0.38,-2.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,-0.25,0.88,0.39,-2.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,-0.25,0.88,0.39,-1.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,-0.25,0.88,0.39,0.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.0,-0.25,0.88,0.38,0.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,-0.25,0.89,0.38,-2.0,3.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,-0.25,0.89,0.39,-2.0,3.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,-0.26,0.88,0.39,0.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,-0.26,0.88,0.38,0.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.0,-0.26,0.89,0.38,-1.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,-0.25,0.89,0.38,-2.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,-0.26,0.88,0.39,-2.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,-0.26,0.88,0.39,-1.0,5.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,-0.26,0.89,0.38,-2.0,6.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,-0.26,0.89,0.38,-2.0,6.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,-0.26,0.89,0.39,-2.0,6.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,-0.26,0.89,0.38,-2.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,-0.26,0.89,0.38,-2.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,50.0,-0.25,0.89,0.37,-2.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,-0.25,0.89,0.38,-2.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,-0.25,0.89,0.38,-2.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,-0.25,0.88,0.38,-1.0,5.0,1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,53.0,-0.26,0.89,0.37,0.0,3.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,-0.25,0.89,0.37,-1.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.0,-0.25,0.89,0.37,-1.0,1.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,53.0,-0.25,0.89,0.37,-1.0,1.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,53.0,-0.25,0.89,0.37,0.0,1.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,53.0,-0.25,0.89,0.37,-1.0,1.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,-0.25,0.89,0.38,-1.0,0.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,-0.25,0.89,0.38,-1.0,0.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,8.0,57.0,-0.26,0.89,0.38,-1.0,0.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,-0.25,0.89,0.38,-2.0,0.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,-0.25,0.89,0.38,-2.0,0.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,-0.25,0.88,0.39,-2.0,0.0,-4.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,-0.26,0.88,0.4,-2.0,-1.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,-0.26,0.88,0.39,-1.0,-2.0,-3.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,-0.26,0.88,0.39,-1.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,57.0,-0.25,0.88,0.39,-1.0,0.0,-2.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,-0.25,0.88,0.39,-1.0,0.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,-0.26,0.88,0.38,0.0,0.0,-1.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,15.0,52.0,-0.26,0.88,0.38,0.0,0.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,-0.26,0.88,0.38,0.0,0.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,-0.26,0.88,0.38,0.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,50.0,-0.26,0.88,0.38,0.0,1.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,-0.26,0.88,0.37,0.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,50.0,-0.26,0.89,0.37,0.0,2.0,0.0,tin
0.0,0.0,0.0,0.0,0.0,0.0,18.0,52.0,-0.26,0.89,0.37,-1.0,2.0,0.0,tin
