idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
0,55,4,51,66,32,70,76,two
18,52,3,50,65,32,65,74,two
13,49,3,48,65,32,62,74,two
9,48,2,47,66,33,59,72,two
4,44,1,46,66,32,56,74,two
0,41,1,45,66,32,51,74,two
0,37,0,45,66,33,51,71,two
0,35,0,44,66,33,46,71,two
0,32,0,43,66,33,45,69,two
0,30,0,42,66,34,42,69,two
0,28,0,42,65,33,39,69,two
0,25,0,41,65,33,39,69,two
0,25,0,41,66,33,40,69,two
0,25,0,41,65,33,40,71,two
0,25,0,40,65,33,42,71,two
0,25,0,40,65,34,42,69,two
0,26,0,40,63,34,42,69,two
0,26,0,40,63,33,40,69,two
0,26,0,39,63,33,40,71,two
0,26,0,39,60,33,42,71,two
0,25,0,39,61,33,42,71,two
0,28,0,39,61,33,40,71,two
0,28,0,39,65,33,40,69,two
0,28,0,40,65,34,42,67,two
0,28,0,40,66,34,42,67,two
0,29,0,41,66,36,40,69,two
0,28,0,41,68,36,43,69,two
0,28,0,41,68,36,43,69,two
0,28,0,41,66,36,45,67,two
0,26,0,41,68,34,43,69,two
0,26,0,42,68,36,43,67,two
0,26,0,42,68,36,43,67,two
0,26,0,42,65,36,46,69,two
0,26,0,42,65,36,45,71,two
0,26,0,41,65,36,45,71,two
0,26,0,41,63,34,45,71,two
0,26,0,42,63,34,42,71,two
0,26,0,42,63,34,42,71,two
0,26,0,42,65,34,40,71,two
0,28,0,43,65,34,40,71,two
0,28,0,43,63,34,39,72,two
0,26,0,42,65,34,39,71,two
0,29,0,41,66,34,35,72,two
0,29,0,41,66,33,43,71,two
0,29,0,42,66,33,43,72,two
0,29,0,43,66,34,42,72,two
0,29,0,43,66,33,43,72,two
0,29,0,43,66,34,43,72,two
0,29,0,43,66,34,45,71,two
0,29,0,43,66,33,45,71,two
0,29,0,44,65,33,45,71,two
0,30,0,44,65,33,45,71,two
0,28,0,45,63,33,46,76,two
0,28,0,45,63,33,39,76,two
0,26,0,46,61,33,39,74,two
0,26,0,46,63,33,40,74,two
0,28,0,46,63,33,40,74,two
0,28,0,46,61,34,40,76,two
0,28,0,46,61,34,40,77,two
0,28,0,46,61,33,39,76,two
0,28,0,45,61,33,40,76,two
0,28,0,45,60,33,42,76,two
0,28,0,45,60,33,42,69,two
0,28,0,45,60,34,43,69,two
0,28,0,45,60,34,42,67,two
0,28,0,44,60,33,42,67,two
0,28,0,44,58,33,40,67,two
0,26,0,44,60,34,40,67,two
0,26,0,44,60,34,40,67,two
0,26,0,44,60,34,42,67,two
0,26,0,44,61,34,42,66,two
0,26,0,44,61,36,40,64,two
0,25,0,45,61,36,40,64,two
0,25,0,45,61,36,40,64,two
0,25,0,45,63,36,40,63,two
0,25,0,45,61,36,39,63,two
0,25,0,45,63,36,40,63,two
0,25,0,45,63,36,39,61,two
0,25,0,45,63,36,39,61,two
0,25,0,45,63,34,39,66,two
0,25,0,46,65,33,37,67,two
0,25,0,46,65,32,37,67,two
0,25,0,46,65,33,35,69,two
0,25,0,46,65,32,39,71,two
0,25,0,46,65,32,34,71,two
0,25,0,47,65,32,35,64,two
0,25,0,47,65,32,32,64,two
0,25,0,47,63,32,34,64,two
0,25,0,47,65,32,35,64,two
0,25,0,48,63,32,32,61,two
0,26,0,48,61,34,32,61,two
0,26,0,49,61,34,35,61,two
0,26,0,49,61,36,35,59,two
0,26,0,49,61,36,32,59,two
0,26,0,49,61,36,39,59,two
0,26,0,49,61,36,40,67,two
0,26,0,49,61,36,37,67,two
0,26,0,49,63,36,37,67,two
0,26,0,49,63,36,35,67,two
0,26,0,49,63,34,40,67,two
0,26,0,49,61,34,42,67,two
0,28,0,49,60,34,40,67,two
0,28,0,49,60,33,40,69,two
0,28,0,49,60,33,39,66,two
0,26,0,49,58,33,39,67,two
0,26,0,49,58,33,37,64,two
0,26,0,49,58,33,40,66,two
0,26,0,49,58,33,40,64,two
0,25,0,49,56,33,43,66,two
0,25,0,49,56,34,42,66,two
0,26,0,49,60,34,42,66,two
0,26,0,49,61,36,40,67,two
0,26,0,49,60,38,39,67,two
0,26,0,49,60,37,39,71,two
0,25,0,49,61,37,42,69,two
0,26,0,49,61,36,42,71,two
0,26,0,49,61,38,43,71,two
0,26,0,49,63,37,43,72,two
0,26,0,49,61,37,42,72,two
0,26,0,49,61,36,40,66,two
0,26,0,49,60,37,40,66,two
0,26,0,49,61,36,40,63,two
0,26,0,49,61,34,42,63,two
0,25,0,48,61,34,42,63,two
0,28,0,49,60,34,35,63,two
0,26,0,49,60,36,35,64,two
0,28,0,48,60,34,34,61,two
0,28,0,48,60,34,34,61,two
0,28,0,48,61,34,35,61,two
0,28,0,48,61,34,35,66,two
0,28,0,48,61,34,34,64,two
0,28,0,48,61,32,37,63,two
0,28,0,48,61,32,39,63,two
0,28,0,48,61,30,40,61,two
0,28,0,48,61,30,40,63,two
0,28,0,48,61,30,39,63,two
0,28,0,48,61,30,40,63,two
0,28,0,48,63,30,40,63,two
0,26,0,47,61,30,40,63,two
0,28,0,47,61,29,40,63,two
0,28,0,47,63,30,39,63,two
0,28,0,47,63,33,37,66,two
0,28,0,47,63,33,37,64,two
0,28,0,47,63,33,34,67,two
0,28,0,47,61,33,35,67,two
0,28,0,47,63,33,35,67,two
0,28,0,47,63,29,35,67,two
0,28,0,46,61,28,35,71,two
0,28,0,46,60,28,35,71,two
0,28,0,46,60,30,37,71,two
0,28,0,46,60,30,40,71,two
0,28,0,45,60,32,39,71,two
0,28,0,45,58,32,39,71,two
0,28,0,45,58,32,39,69,two
0,28,0,45,60,30,39,69,two
0,28,0,45,60,30,40,69,two
0,28,0,45,58,36,42,69,two
0,26,0,46,60,36,40,66,two
0,28,0,46,61,36,39,59,two
0,28,0,46,61,34,39,59,two
0,26,0,46,60,34,35,61,two
0,26,0,47,60,33,37,63,two
0,26,0,47,61,33,39,58,two
0,26,0,47,61,33,39,58,two
0,28,0,47,61,34,39,59,two
0,28,0,47,61,34,39,59,two
0,28,0,47,61,34,39,58,two
0,29,0,47,61,33,39,58,two
0,28,0,47,61,33,39,66,two
0,28,0,47,61,33,39,64,two
0,29,0,47,61,33,39,64,two
0,26,0,47,61,33,37,63,two
0,25,0,46,63,33,37,66,two
0,25,0,46,61,33,35,64,two
0,25,0,46,61,33,35,64,two
0,25,0,46,60,32,35,64,two
0,25,0,47,60,32,34,66,two
0,25,0,47,60,33,34,64,two
0,25,0,46,60,33,32,66,two
0,25,0,46,60,33,34,66,two
0,25,0,46,60,33,32,64,two
0,26,0,46,60,32,32,63,two
0,26,0,46,60,32,35,64,two
0,28,0,46,60,32,35,64,two
0,28,0,46,61,32,35,64,two
0,28,0,46,61,32,37,64,two
0,28,0,45,60,32,37,63,two
0,28,0,45,60,33,39,64,two
0,28,0,45,60,33,37,64,two
0,28,0,45,58,33,37,64,two
0,28,0,45,58,33,39,66,two
0,28,0,45,56,32,40,66,two
0,28,0,45,55,32,39,64,two
0,28,0,44,56,32,39,64,two
0,28,0,44,55,30,39,64,two
0,28,0,44,56,30,37,64,two
0,28,0,43,56,30,39,66,two
0,26,0,43,56,30,39,69,two
0,28,0,44,55,29,40,69,two
0,26,0,44,55,29,40,69,two
0,26,0,44,51,29,39,69,two
0,26,0,43,51,30,39,69,two
0,26,0,43,53,30,39,69,two
0,26,0,44,51,30,37,69,two
0,26,0,44,51,32,37,67,two
0,26,0,44,50,32,37,67,two
0,26,0,44,51,32,37,66,two
0,26,0,44,51,32,39,63,two
0,26,0,44,53,33,37,66,two
0,26,0,44,51,33,37,66,two
0,26,0,44,56,33,37,64,two
0,26,0,44,56,33,39,64,two
0,26,0,44,58,33,39,63,two
0,29,0,44,58,33,39,64,two
0,28,0,44,58,33,40,64,two
0,28,0,44,60,33,39,64,two
0,28,0,44,58,32,37,64,two
0,28,0,44,60,32,35,64,two
0,29,0,44,60,32,35,71,two
0,28,0,43,61,32,35,84,two
0,29,0,44,61,32,34,85,two
0,29,0,44,61,32,34,84,two
0,29,0,44,61,32,32,87,two
0,26,0,44,61,32,35,85,two
0,28,0,44,63,32,34,85,two
0,28,0,44,61,30,34,87,two
0,26,0,44,61,30,34,87,two
