idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
123,70,100,125,54,34,0,51,ka
121,68,100,124,54,34,0,52,ka
118,66,99,124,54,34,0,51,ka
114,65,99,124,50,34,0,51,ka
114,63,98,124,50,34,0,49,ka
107,61,98,123,50,34,0,49,ka
105,61,97,123,50,34,0,49,ka
103,58,97,122,52,33,0,49,ka
103,57,97,122,52,33,0,49,ka
100,54,96,122,52,33,0,49,ka
98,54,96,122,52,33,0,49,ka
98,52,96,122,52,33,0,49,ka
98,51,96,122,52,33,0,49,ka
98,52,96,122,52,33,0,49,ka
98,51,97,122,52,33,0,49,ka
98,51,97,122,52,32,0,49,ka
98,50,97,122,52,32,0,51,ka
96,50,97,122,54,33,0,49,ka
96,50,97,122,54,33,0,51,ka
94,50,97,122,54,32,0,51,ka
94,50,96,121,54,32,0,51,ka
94,48,97,121,54,32,0,51,ka
94,48,97,121,54,32,0,52,ka
96,48,97,121,54,32,0,52,ka
96,47,97,121,54,32,0,52,ka
96,48,97,121,54,33,0,52,ka
96,48,96,121,54,33,0,52,ka
96,48,96,121,52,33,0,52,ka
98,47,96,121,54,33,0,51,ka
100,48,96,121,52,33,0,51,ka
103,47,97,121,54,33,0,51,ka
103,48,96,121,52,33,0,51,ka
103,47,96,121,54,33,0,51,ka
100,47,95,121,52,33,0,49,ka
100,47,95,121,54,33,0,49,ka
98,47,95,121,54,33,0,47,ka
96,47,94,121,54,32,0,47,ka
98,47,94,121,55,32,0,47,ka
91,47,95,121,54,32,0,49,ka
91,45,95,121,54,32,0,49,ka
89,45,94,121,52,32,0,49,ka
89,45,95,121,54,32,0,49,ka
87,47,94,121,52,32,0,51,ka
85,45,94,121,52,32,0,51,ka
82,45,94,121,52,32,0,51,ka
85,45,94,121,52,32,0,52,ka
82,45,93,121,52,32,0,52,ka
82,45,93,121,52,32,0,51,ka
85,44,93,121,52,32,0,42,ka
85,45,93,122,52,32,0,42,ka
85,44,93,122,52,32,0,42,ka
85,45,93,122,52,32,0,42,ka
85,44,93,122,54,32,0,42,ka
85,44,93,121,54,32,0,42,ka
85,44,94,122,54,32,0,42,ka
85,44,94,122,54,32,0,41,ka
87,44,95,121,54,32,0,42,ka
87,44,95,121,54,32,0,44,ka
87,44,95,121,55,33,0,54,ka
87,44,95,121,55,33,0,54,ka
85,45,94,121,55,33,0,54,ka
85,45,95,121,55,33,0,54,ka
85,47,94,121,54,33,0,54,ka
87,48,93,121,54,33,0,56,ka
85,47,94,121,54,33,0,54,ka
85,48,93,121,55,33,0,56,ka
85,48,93,121,55,33,0,56,ka
82,48,93,121,52,34,0,54,ka
82,50,93,121,52,34,0,52,ka
80,50,93,121,52,34,0,51,ka
80,50,93,121,52,33,0,51,ka
82,48,93,121,52,33,0,51,ka
82,48,94,121,52,34,0,51,ka
85,45,94,121,52,33,0,52,ka
85,45,93,121,50,33,0,52,ka
87,44,94,121,48,33,0,51,ka
87,43,93,121,48,33,0,51,ka
87,43,93,121,50,32,0,51,ka
87,44,93,121,50,32,0,51,ka
89,44,94,121,52,32,0,54,ka
91,43,94,121,52,33,0,52,ka
89,44,93,121,50,33,0,52,ka
89,44,93,121,50,33,0,52,ka
87,45,94,121,52,33,0,51,ka
87,47,94,121,52,32,0,51,ka
85,47,93,121,54,32,0,51,ka
85,47,94,121,54,33,0,51,ka
87,47,94,121,52,34,0,52,ka
87,45,94,121,54,33,0,51,ka
85,45,94,121,52,33,0,49,ka
89,45,94,121,48,32,0,49,ka
89,45,94,121,48,32,0,49,ka
89,44,94,121,48,32,0,52,ka
89,44,94,121,50,32,0,49,ka
91,45,94,121,48,33,0,49,ka
91,45,94,121,48,33,0,49,ka
94,45,93,121,50,32,0,49,ka
94,45,93,121,47,32,0,49,ka
100,45,94,121,47,34,0,49,ka
98,45,93,121,47,33,0,49,ka
96,45,93,121,50,33,0,47,ka
96,45,93,121,50,34,0,47,ka
96,45,94,122,48,34,0,46,ka
96,45,94,121,48,34,0,47,ka
96,45,93,121,50,34,0,47,ka
94,45,93,120,50,34,0,46,ka
91,45,93,120,50,34,0,46,ka
91,44,93,120,54,34,0,46,ka
85,44,93,120,54,34,0,46,ka
85,44,93,120,54,34,0,46,ka
85,44,93,121,54,34,0,49,ka
87,45,93,121,54,34,0,49,ka
85,45,92,121,54,34,0,49,ka
85,45,92,121,54,33,0,51,ka
85,45,92,121,54,33,0,64,ka
85,45,93,122,52,33,0,66,ka
85,45,92,122,52,33,0,66,ka
82,44,93,122,52,33,0,64,ka
85,45,93,122,52,33,0,66,ka
85,45,93,122,52,32,0,66,ka
85,45,93,121,50,32,0,64,ka
85,43,93,120,50,32,0,66,ka
85,43,93,121,50,32,0,66,ka
